action_source,camc_delta_0.1,camc_delta_0.2,camc_delta_0.3,camc_delta_0.5,camc_flip_coverage,k,mean_cf_drop_all_matched,mean_cf_drop_covered,method,motif_atom_count_mean,motif_atom_ratio_mean,motif_count,num_inputs,pairwise_tanimoto_max,pairwise_tanimoto_mean,runtime_sec,support_coverage,target_label,valid_motif_count
selected_fragment,0.8711018711018711,0.808038808038808,0.7588357588357588,0.6528066528066528,0.8905058905058905,10,0.5335977908884625,0.5638260052273341,ours_selected_subgraph,6.4,0.18136661183031907,10,1443,0.2727272727272727,0.07486676252874855,1860.5432260036469,0.9722799722799723,1,10
selected_fragment,0.8828828828828829,0.841995841995842,0.7851697851697852,0.6812196812196812,0.9126819126819127,20,0.559918109240596,0.5815691893185312,ours_selected_subgraph,7.95,0.18513876596457512,20,1443,0.375,0.06568170333349924,1860.5432260036469,0.9757449757449758,1,20
mcs_deleted_motif,0.8905058905058905,0.8447678447678447,0.7830907830907831,0.6431046431046431,0.9106029106029107,10,0.5273541822486844,0.5516422502351096,gt_fullgraph_greedy,6.9,0.1301161625098677,10,1443,0.2,0.04319242322701056,1860.5432260036469,0.9930699930699931,1,10
mcs_deleted_motif,0.8905058905058905,0.8447678447678447,0.7830907830907831,0.6437976437976438,0.9112959112959113,20,0.5277983017675982,0.5521074145568575,gt_fullgraph_greedy,8.05,0.13555626938255907,20,1443,0.2,0.049967236419922505,1860.5432260036469,0.9937629937629938,1,20
