action_source,camc_delta_0.1,camc_delta_0.2,camc_delta_0.3,camc_delta_0.5,camc_flip_coverage,k,mean_cf_drop_all_matched,mean_cf_drop_covered,method,motif_atom_count_mean,motif_atom_ratio_mean,motif_count,num_inputs,pairwise_tanimoto_max,pairwise_tanimoto_mean,runtime_sec,support_coverage,target_label,valid_motif_count
selected_fragment,0.8711018711018711,0.808038808038808,0.7588357588357588,0.6528066528066528,0.8905058905058905,10,0.5335977908884625,0.5638260052273341,ours_selected_subgraph,6.4,0.18136661183031907,10,1443,0.2727272727272727,0.07486676252874855,1864.9570817947388,0.9722799722799723,1,10
selected_fragment,0.8828828828828829,0.841995841995842,0.7851697851697852,0.6812196812196812,0.9126819126819127,20,0.559918109240596,0.5815691893185312,ours_selected_subgraph,7.95,0.18513876596457512,20,1443,0.375,0.06568170333349924,1864.9570817947388,0.9757449757449758,1,20
mcs_deleted_motif,0.8884268884268884,0.8364518364518364,0.7761607761607762,0.6403326403326404,0.9064449064449065,10,0.524988304249962,0.5517373182526407,gt_fullgraph_greedy,7.6,0.1326091780618762,10,1443,0.2,0.041837302332495496,1864.9570817947388,0.9930699930699931,1,10
mcs_deleted_motif,0.8905058905058905,0.841995841995842,0.7851697851697852,0.6528066528066528,0.9161469161469161,20,0.5306035836594709,0.5539855748049924,gt_fullgraph_greedy,8.5,0.13805680158057387,20,1443,0.23529411764705882,0.046089232544515774,1864.9570817947388,0.9937629937629938,1,20
